Z	TIME
552	2136777457
584	2136777497
560	2136777537
512	2136777577
520	2136777617
504	2136777657
520	2136777697
528	2136777737
552	2136777777
560	2136777817
480	2136777857
520	2136777897
536	2136777937
520	2136777977
520	2136778017
568	2136778057
576	2136778097
600	2136778137
632	2136778177
648	2136778217
608	2136778257
640	2136778297
656	2136778337
664	2136778377
648	2136777927
680	2136777967
704	2136778007
696	2136778047
744	2136778087
752	2136778127
776	2136778167
840	2136778207
824	2136778247
856	2136778287
880	2136778327
848	2136778367
856	2136778407
896	2136778447
920	2136778487
888	2136778527
912	2136778567
920	2136778607
928	2136778647
896	2136778687
904	2136778727
928	2136778767
864	2136778807
912	2136778847
896	2136778887
776	2136779969
848	2136780009
784	2136780049
736	2136780089
768	2136780129
728	2136780169
752	2136780209
712	2136780249
720	2136780289
752	2136780329
776	2136780369
632	2136780409
576	2136780449
648	2136780489
568	2136780529
624	2136780569
600	2136780609
552	2136780649
512	2136780689
632	2136780729
592	2136780769
568	2136780809
560	2136780849
512	2136780889
544	2136780929
584	2136780481
568	2136780521
608	2136780561
600	2136780601
576	2136780641
624	2136780681
608	2136780721
608	2136780761
624	2136780801
632	2136780841
712	2136780881
584	2136780921
656	2136780961
728	2136781001
744	2136781041
704	2136781081
728	2136781121
792	2136781161
840	2136781201
824	2136781241
840	2136781281
880	2136781321
928	2136781361
880	2136781401
848	2136781441
864	2136780992
920	2136781032
976	2136781072
944	2136781112
912	2136781152
904	2136781192
952	2136781232
952	2136781272
864	2136781312
880	2136781352
904	2136781392
800	2136781432
872	2136781472
752	2136781512
776	2136781552
760	2136781592
760	2136781632
768	2136781672
776	2136781712
736	2136781752
728	2136781792
720	2136781832
600	2136781872
656	2136781912
640	2136781952
600	2136781502
496	2136781542
496	2136781582
496	2136781622
496	2136781662
456	2136781702
416	2136781742
304	2136781782
408	2136781822
360	2136781862
280	2136781902
248	2136781942
336	2136781982
344	2136782022
416	2136782062
432	2136782102
472	2136782142
512	2136782182
552	2136782222
584	2136782262
600	2136782302
584	2136782342
616	2136782382
680	2136782422
704	2136782462
