Y	TIME
264	2136776724
280	2136776764
272	2136776804
272	2136776844
288	2136776395
304	2136776435
304	2136776475
312	2136776515
304	2136776555
304	2136776595
320	2136776635
320	2136776675
336	2136776715
352	2136776755
376	2136776795
384	2136776835
384	2136776875
376	2136776915
392	2136776955
456	2136776995
456	2136777035
456	2136777075
472	2136777115
456	2136777155
464	2136777195
464	2136777235
464	2136777275
488	2136777315
440	2136777355
400	2136776906
472	2136776946
480	2136776986
440	2136777026
448	2136777066
488	2136777106
560	2136777146
552	2136777186
544	2136777226
576	2136777266
528	2136777306
520	2136777346
608	2136777386
664	2136777426
600	2136777466
544	2136777506
560	2136777546
584	2136777586
568	2136777626
560	2136777666
576	2136777706
552	2136777746
496	2136777786
480	2136777826
464	2136777866
456	2136777417
448	2136777457
448	2136777497
456	2136777537
456	2136777577
456	2136777617
480	2136777657
456	2136777697
472	2136777737
480	2136777777
496	2136777817
496	2136777857
488	2136777897
512	2136777937
496	2136777977
488	2136778017
496	2136778057
464	2136778097
440	2136778137
456	2136778177
464	2136778217
464	2136778257
464	2136778297
456	2136778337
480	2136778377
480	2136777927
488	2136777967
512	2136778007
504	2136778047
512	2136778087
520	2136778127
504	2136778167
520	2136778207
544	2136778247
560	2136778287
584	2136778327
568	2136778367
552	2136778407
576	2136778447
576	2136778487
560	2136778527
536	2136778567
528	2136778607
560	2136778647
544	2136778687
528	2136778727
512	2136778767
496	2136778807
480	2136778847
448	2136778887
496	2136779969
512	2136780009
504	2136780049
496	2136780089
512	2136780129
512	2136780169
520	2136780209
496	2136780249
488	2136780289
536	2136780329
504	2136780369
504	2136780409
496	2136780449
504	2136780489
432	2136780529
440	2136780569
448	2136780609
472	2136780649
472	2136780689
504	2136780729
504	2136780769
480	2136780809
456	2136780849
464	2136780889
480	2136780929
472	2136780481
480	2136780521
480	2136780561
496	2136780601
488	2136780641
488	2136780681
488	2136780721
480	2136780761
456	2136780801
464	2136780841
488	2136780881
464	2136780921
464	2136780961
472	2136781001
480	2136781041
464	2136781081
472	2136781121
464	2136781161
480	2136781201
480	2136781241
504	2136781281
512	2136781321
520	2136781361
520	2136781401
528	2136781441
568	2136780992
576	2136781032
584	2136781072
576	2136781112
560	2136781152
560	2136781192
536	2136781232
544	2136781272
528	2136781312
464	2136781352
488	2136781392
472	2136781432
448	2136781472
432	2136781512
448	2136781552
408	2136781592
408	2136781632
368	2136781672
368	2136781712
344	2136781752
320	2136781792
312	2136781832
304	2136781872
304	2136781912
296	2136781952
296	2136781502
320	2136781542
296	2136781582
256	2136781622
240	2136781662
288	2136781702
336	2136781742
336	2136781782
264	2136781822
256	2136781862
248	2136781902
216	2136781942
192	2136781982
168	2136782022
144	2136782062
168	2136782102
192	2136782142
200	2136782182
224	2136782222
256	2136782262
256	2136782302
256	2136782342
272	2136782382
280	2136782422
288	2136782462
272	2136782013
296	2136782053
312	2136782093
296	2136782133
296	2136782173
304	2136782213
312	2136782253
320	2136782293
320	2136782333
320	2136782373
336	2136782413
336	2136782453
360	2136782493
368	2136782533
376	2136782573
416	2136782613
440	2136782653
432	2136782693
408	2136782733
424	2136782773
440	2136782813
416	2136782853
448	2136782893
488	2136782933
504	2136782973
488	2136782523
472	2136782563
520	2136782603
520	2136782643
496	2136782683
528	2136782723
544	2136782763
528	2136782803
544	2136782843
520	2136782883
560	2136782923
560	2136782963
536	2136783003
504	2136783043
576	2136783083
576	2136783123
552	2136783163
536	2136783203
520	2136783243
528	2136783283
544	2136783323
528	2136783363
504	2136783403
512	2136783443
488	2136783483
488	2136783035
472	2136783075
496	2136783115
520	2136783155
520	2136783195
512	2136783235
536	2136783275
528	2136783315
544	2136783355
528	2136783395
520	2136783435
528	2136783475
544	2136783515
544	2136783555
528	2136783595
528	2136783635
520	2136783675
512	2136783715
496	2136783755
512	2136783795
496	2136783835
480	2136783875
488	2136783915
488	2136783955
488	2136783995
440	2136783545
416	2136783585
432	2136783625
424	2136783665
416	2136783705
432	2136783745
408	2136783785
408	2136783825
440	2136783865
440	2136783905
456	2136783945
472	2136783985
496	2136784025
520	2136784065
552	2136784105
560	2136784145
600	2136784185
632	2136784225
624	2136784265
608	2136784305
616	2136784345
648	2136784385
768	2136784425
792	2136784465
656	2136784505
616	2136784056
664	2136784096
712	2136784136
744	2136784176
672	2136784216
688	2136784256
736	2136784296
856	2136784336
832	2136784376
784	2136784416
728	2136784456
768	2136784496
872	2136784536
888	2136784576
896	2136784616
808	2136784656
872	2136784696
840	2136784736
840	2136784776
872	2136784816
712	2136784856
616	2136784896
872	2136784936
824	2136784976
784	2136785016
832	2136784567
808	2136784607
864	2136784647
